,Total_Stops,Price,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Day,Month,TotalTime,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,dep_timezone_Morning,dep_timezone_Afternoon,dep_timezone_Evening,arrival_timezone_Morning,arrival_timezone_Afternoon,arrival_timezone_Evening,Additional_Info_1 short layover,Additional_Info_2 long layover,Additional_Info_business class,Additional_Info_change airports,Additional_Info_in-flight meal not included,Additional_Info_no check-in baggage included,Additional_Info_red-eye flight
22,0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2.8333333333333335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,4823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2.9166666666666665,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
24,1,7757,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,13.333333333333334,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
25,2,13292,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,15.166666666666666,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
26,1,8238,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,5.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,1,7682,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,5.916666666666667,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
28,0,4668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18,6,2.8333333333333335,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29,0,3687,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,15,6,2.25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,0,3687,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,18,6,2.25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31,2,13227,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,13.416666666666666,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
32,0,4423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,2.8333333333333335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,10919,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,22.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
34,1,12373,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,5.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
35,1,5894,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,10.416666666666666,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
36,1,4649,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,5,5.25,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
37,0,6245,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,2.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
38,1,19225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,6.25,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
39,1,14924,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,11.916666666666666,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40,1,9646,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,21,5,11.083333333333334,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,1,8714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,1,12373,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,22.083333333333332,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
43,0,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2.75,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
44,1,13062,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,21,3,12.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,0,3527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24,3,2.8333333333333335,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
46,0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,5,2.8333333333333335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,4667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,2.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
48,1,6117,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,16.083333333333332,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
49,2,11150,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,19.916666666666668,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
50,0,7202,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,3,3.25,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
51,1,12121,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,25.333333333333332,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
52,0,4377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,2.8333333333333335,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,6,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,0,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2.8333333333333335,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
55,1,14231,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,16.25,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,2,17345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,15.083333333333334,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
57,0,7414,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,3,2.25,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
58,1,8073,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,5,6.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,1,12395,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,3,25.083333333333332,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
60,1,8366,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,12.416666666666666,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,1,5117,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,27.333333333333332,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
62,1,12524,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,6,10.25,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
63,1,7191,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,10.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
64,0,3687,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,24,5,2.25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
65,1,5894,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,10.416666666666666,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
66,0,5403,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24,4,2.8333333333333335,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
67,0,3625,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,5,1.5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
68,2,10861,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,13.333333333333334,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,0,6297,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,3,2.25,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
70,0,5678,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,1.4166666666666667,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71,1,9134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,26.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
72,1,10791,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,24,6,7.333333333333333,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
73,2,12819,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,13.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
74,1,6893,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,0,7240,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,3,2.75,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
76,0,3898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2.8333333333333335,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
77,0,4049,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,4,1.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
78,1,10262,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,19.083333333333332,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
79,0,3332,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,21,3,2.25,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
80,1,10844,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,14.833333333333334,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
81,0,7229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,2.6666666666666665,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
82,1,13941,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,22.166666666666668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,5894,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,9.583333333333334,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
84,1,10197,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,18,5,10.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
85,1,13712,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,21.333333333333332,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
86,1,5636,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,5.416666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,2,13014,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,18.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,1,7064,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,12.333333333333334,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
89,1,10703,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,18.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
90,1,9646,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,27,5,9.25,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
91,1,17057,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,3,11.083333333333334,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
92,1,13817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,17.5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
93,2,13748,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,13.333333333333334,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
94,0,4880,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,4,2.5833333333333335,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
95,0,3540,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21,6,2.4166666666666665,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,0,3257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,5,2.6666666666666665,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
97,0,6478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,3.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
98,0,8040,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,6,1.4166666666666667,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
99,2,14300,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,16.583333333333332,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
100,1,14781,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,12.333333333333334,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
101,1,14939,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,12.25,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
102,1,10262,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,7.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
103,1,6528,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,24.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
104,0,6121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2.75,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
105,2,13029,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,8.916666666666666,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
106,1,11421,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,27,3,7.166666666666667,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
107,1,7574,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,27,3,14.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
108,2,11596,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,30.333333333333332,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
109,2,15129,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,5,19.916666666666668,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
110,1,13555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,15.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0,5780,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,4,2.9166666666666665,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
112,1,9397,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,5,12.75,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
113,1,17024,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,10.166666666666666,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
114,1,5281,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,5.916666666666667,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
115,1,10348,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,18,5,15.416666666666666,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
116,1,12677,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,16.083333333333332,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
117,1,15147,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,3,10.166666666666666,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,0,4668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,6,2.6666666666666665,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
119,1,15554,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,11.916666666666666,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
120,0,3971,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,4,2.6666666666666665,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,0,3100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,5,1.4166666666666667,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
122,1,9663,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,14.083333333333334,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
123,1,27430,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,20.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
124,0,3540,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,5,2.4166666666666665,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,2,10676,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,5,23.166666666666668,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
126,1,13044,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,6,18.166666666666668,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
127,1,14388,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,16.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
128,0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,6,2.8333333333333335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,3597,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,6,2.3333333333333335,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
130,1,5932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,8.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
131,1,10262,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,16.916666666666668,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
132,0,6216,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,12,5,3.1666666666666665,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
133,0,4804,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,6,2.75,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
134,1,14067,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,21,5,14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,2,15129,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,23.833333333333332,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
136,2,13376,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,21.666666666666668,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,10441,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,21.25,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
138,0,4030,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,5,2.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
139,1,17024,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,10.833333333333334,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
140,1,13017,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9,4,8.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,1,6686,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,8.25,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
142,1,5636,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,5.416666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
